FeatureID	Kingdom   Phylum  Class   Order   Family  Genus   Species
000a917bb2afbd31cb038bcf505099ec	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup    unassigned      unassigned      unassigned      unassigned
000c7ff58c9628cf43200c8b96e5188f	D_0__Bacteria    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
000dbd5d04f8f3cfe2b5a459d564c3b9	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS2b   unassigned
0012faf5fb9dd909a880dbaa480e6a53	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Tistrellales	D_4__Geminicoccaceae    unassigned      unassigned
0015e939aed8d3052abc3ffea409d903	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Desulfovibrionales	D_4__Desulfovibrionaceae	D_5__Desulfovibrio   unassigned
0017916e06334de468052ed373b6f2d9	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Desulfovibrionales	D_4__Desulfovibrionaceae	D_5__Desulfovibrio   unassigned
0019efbeee7dc53848ecbfcd22a678fc	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Rubripirellula   unassigned
001a9ddf2c29ac97e077cd1d18c80b53	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Weeksellaceae	D_5__Chryseobacterium   unassigned
0040006b234eca4e8468298b8b1f4790	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rickettsiales	D_4__Mitochondria    unassigned      unassigned
00402b158a7ac992190b202063c33b37	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Pir4   unassigned
00471bf099f0e3e75cb3c1d84d4fa89b	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Roseobacter   unassigned
004ec782c662bc8a189fde087062d234	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rickettsiales	D_4__Mitochondria	D_5__uncultured   unassigned
00571eb7da8e61f615f92d34d86ba525	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Oceanospirillales	D_4__Alcanivoracaceae	D_5__Alcanivorax	D_6__uncultured
005e0a5cb4c8919ab3576639f2d186b6	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rickettsiales	D_4__Mitochondria	D_5__Schizymenia   unassigned
0061a973a485db63373eaa8d91506901	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria    unassigned      unassigned      unassigned      unassigned
0063163fc589870543df976568d4cbe0	D_0__Eukaryota    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
006669a2226ba12e05a6edd8559d17a1	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast    unassigned      unassigned      unassigned
0067a33a3fb28a0cf7fe9f1f965840ca	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Blastopirellula   unassigned
00713a7004ae0ce127d32b9dce8145fd	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Myxococcales    unassigned      unassigned      unassigned
007181f6ee54ea42ac8d775f2c1a9575	Unassigned    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
0071c6f8bcdc578bfa9db2ff14585787	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Amoebophilaceae	D_5__uncultured   unassigned
007467ef3edd7bab26ab74d531606611	D_0__Bacteria	D_1__Planctomycetes	D_2__OM190	D_3__uncultured    unassigned      unassigned      unassigned
007c2b9daa029ec206d10606b583dc93	Unassigned    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
00822751be18cfcdd66198c62546f943	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae    unassigned      unassigned
00861a18a0a6f90fd25f396fc9086150	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Halieaceae	D_5__Parahaliea   unassigned
0086b802285883bb873118019c256027	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae    unassigned      unassigned
00a098d9d7fc108431d03d9a7efa89c9	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Halieaceae    unassigned      unassigned
00a467456f269f6a49ecc9e1071fce03	Unassigned    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
00b32c0089cf6fee72736c2d2455cf13	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast    unassigned      unassigned      unassigned
00b3f728c36d5dc25ed995b6f88c28a2	D_0__Bacteria	D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Lachnospiraceae	D_5__Epulopiscium   unassigned
00b8b80c511d9e3a523a3d66c9b512f4	D_0__Bacteria	D_1__Actinobacteria	D_2__Acidimicrobiia	D_3__Actinomarinales	D_4__uncultured    unassigned      unassigned
00baa300d6547ad2d3466a44240b2b25	D_0__Bacteria	D_1__Firmicutes	D_2__Negativicutes	D_3__Selenomonadales	D_4__Veillonellaceae	D_5__Sporomusa   unassigned
00baf5b09536da761d9e5138f665736d	D_0__Bacteria	D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Clostridiaceae    unassigned      unassigned
00bd20557a99c3c461b65d4fa1818284	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Amoebophilaceae	D_5__uncultured   unassigned
00c16bc3aaa3ec5c67db822d4c13f445	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Erythrobacter   unassigned
00c454f86474bd095d3004d9660a94cb	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Sphingomonas   unassigned
00ca8857025a185eb0550606c05fe139	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Rhodopirellula   unassigned
00cc0f0e3e1159b2d531d04cba26b602	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Cohaesibacter	D_6__uncultured
00d1d58cf8300beab90eec17fceeff06	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rickettsiales	D_4__Mitochondria	D_5__museum   unassigned
00dcebf9e9da0db66bcadc981cd81ea1	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter   unassigned
00ded795b3a1d2cf8e9c315fb621b5d0	D_0__Bacteria	D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Clostridiaceae    unassigned      unassigned
00e0deef7d2a6cedc4c9c7a121f09a19	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__Prasinoderma    unassigned      unassigned
00e5f48600b4accc53a8921efd467391	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast    unassigned      unassigned      unassigned
00ecb8cddd6abce3e0f35fc74936c4d0	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rickettsiales	D_4__Mitochondria	D_5__Choreocolax   unassigned
00f38ca20dc0ee5bee802c2a32791312	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Amoebophilaceae	D_5__Candidatus   unassigned
00f8cfa41ed4b509b599f6fe70581f89	D_0__Bacteria	D_1__Chlamydiae	D_2__Chlamydiae	D_3__Chlamydiales	D_4__Simkaniaceae    unassigned      unassigned
00fa6b087844e7ca079d61d97421b300	D_0__Bacteria    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
