#FeatureID  Taxon
5 a;b;c;d;e;f
7 a;b;c;d
3 a;b;c;d;e
6 a;b;
1 a;b;c;d;e;f
8 a;
9 a;b;c;d
2 a;b;
4 a;b;c;d;e;f
14 a;b;c;
12 a;b;c;d;e
17 a;b;c;
18 a;b;c;d;e;f
15 a;
19 a;b;c;d
10 a;b;c;d;e
11 a;b;c;d;e;f
13 a;
16 a;b;
20 a;b;c;
24 a;b;c;d;e;f
27 a;b;c;
28 a;
21 a;b;
26 a;b;c;d
23 a;b;c;d;e;f
22 a;b;c;d;e
25 a;b;c;d
29 a;b;c;
30 a;b;c;d;e;f
35 a;
37 a;b;c;d;e
36 a;b;c;
31 a;b;
32 a;
39 a;b;
33 a;b;c;d;e;f
38 a;b;c;
34 a;b;c;
40 a;b;
44 a;b;c;d
47 a;b;c;d;e
46 a;b;c;d;e;f
48 a;b;c;d;e;f
41 a;
45 a;b;c;d
42 a;b;
43 a;b;c;d;e;f
49 a;b;c;d
50 a;b;c;d;e;f
