FeatureID	Kingdom   Phylum  Class   Order   Family  Genus   Species
034ee21c21aea93013366ef6a3f9ec38	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Pseudomonadales	D_4__Pseudomonadaceae	D_5__Pseudomonas   unassigned
11f617d033454e20624c157eb364b44c	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Tistrellales	D_4__Geminicoccaceae    unassigned      unassigned
12f9d0d7998f2562695a39e7bd31a340	D_0__Bacteria	D_1__Actinobacteria	D_2__Thermoleophilia	D_3__Gaiellales	D_4__uncultured    unassigned      unassigned
17e9598754fc44c32e001ec0cd5d9339	D_0__Bacteria    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
18fd2a2f92ce21943762f66525f2d542	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Methyloligellaceae	D_5__Methyloceanibacter   unassigned
1915e7e5f2b867cb270bef1b594f990e	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae    unassigned      unassigned
218b75c90b507423c45c90d5462f0af9	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__NB1-j    unassigned      unassigned      unassigned
270398ec2835380e47bf2c2cb1cf3473	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Eurycoccales	D_4__Eurycoccales    unassigned      unassigned
2efc3febb3e8678c5335718a4dbbce2d	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast    unassigned      unassigned      unassigned
3196c01a552c9f66e0d66383bc819bd5	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Bacteroidales	D_4__Tannerellaceae	D_5__Macellibacteroides	D_6__uncultured
32af56632bb5154007f67d3a777d8bb2	D_0__Bacteria	D_1__Chlamydiae	D_2__Chlamydiae	D_3__Chlamydiales	D_4__Simkaniaceae	D_5__uncultured   unassigned
369eb643ffde33428e161be14a5493fd	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Thiohalorhabdales	D_4__Thiohalorhabdaceae	D_5__uncultured   unassigned
392de2230e00962b00abca01e5c67f57	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__Laurencia    unassigned      unassigned
